state_class,magnitude_quantizer,bits_per_magnitude,bits_per_phase,k,sample_idx,fidelity,compression_ratio
mps_chi2,percentile,2,2,,6,0.8316697338022879,11.361997226074896
mps_chi2,lloyd,3,3,,6,0.9544675430841034,8.752136752136753
mps_chi2,topk,3,3,8.0,6,0.9569894982704616,8.402051282051282
mps_chi2,log,3,3,,6,0.9400016432846163,8.752136752136753
mps_chi2,percentile,3,3,,6,0.9574184558638913,8.261187444850624
mps_chi2,lloyd,4,4,,6,0.9864002963214673,6.69281045751634
mps_chi2,topk,4,4,8.0,6,0.9872203377547443,6.491283676703645
mps_chi2,log,4,4,,6,0.9845600766479137,6.69281045751634
mps_chi2,percentile,4,4,,6,0.9876511661676999,6.408761979268531
mps_chi2,lloyd,2,2,,7,0.8317157120988182,12.337349397590362
mps_chi2,topk,2,2,8.0,7,0.8567806963687001,11.636363636363637
mps_chi2,log,2,2,,7,0.7280171395016956,12.337349397590362
mps_chi2,percentile,2,2,,7,0.8569738225902463,11.361997226074896
mps_chi2,lloyd,3,3,,7,0.9399863303984277,8.752136752136753
mps_chi2,topk,3,3,8.0,7,0.9552569468627472,8.402051282051282
mps_chi2,log,3,3,,7,0.9126880309299743,8.752136752136753
mps_chi2,percentile,3,3,,7,0.9560341893871716,8.261187444850624
mps_chi2,lloyd,4,4,,7,0.9816806959506478,6.69281045751634
mps_chi2,topk,4,4,8.0,7,0.9853284028708224,6.491283676703645
mps_chi2,log,4,4,,7,0.9622626959607573,6.69281045751634
mps_chi2,percentile,4,4,,7,0.9862655336597295,6.408761979268531
mps_chi2,lloyd,2,2,,8,0.8134593175463971,12.337349397590362
mps_chi2,topk,2,2,8.0,8,0.8308716624306454,11.636363636363637
mps_chi2,log,2,2,,8,0.7040435455141908,12.337349397590362
mps_chi2,percentile,2,2,,8,0.835833252348707,11.361997226074896
mps_chi2,lloyd,3,3,,8,0.9485800990968647,8.752136752136753
mps_chi2,topk,3,3,8.0,8,0.955326255492639,8.402051282051282
mps_chi2,log,3,3,,8,0.9028417746428234,8.752136752136753
mps_chi2,percentile,3,3,,8,0.9555003189979266,8.261187444850624
mps_chi2,lloyd,4,4,,8,0.9817745751111104,6.69281045751634
mps_chi2,topk,4,4,8.0,8,0.9840078298576288,6.491283676703645
mps_chi2,log,4,4,,8,0.9556603871392373,6.69281045751634
mps_chi2,percentile,4,4,,8,0.9866341377893436,6.408761979268531
mps_chi2,lloyd,2,2,,9,0.8218628045979294,12.337349397590362
mps_chi2,topk,2,2,8.0,9,0.8425467157593105,11.636363636363637
mps_chi2,log,2,2,,9,0.7416242746863667,12.337349397590362
mps_chi2,percentile,2,2,,9,0.8466822580960621,11.361997226074896
mps_chi2,lloyd,3,3,,9,0.9481942084054165,8.752136752136753
mps_chi2,topk,3,3,8.0,9,0.9534009379335058,8.402051282051282
mps_chi2,log,3,3,,9,0.9082180062656382,8.752136752136753
mps_chi2,percentile,3,3,,9,0.955075626513038,8.261187444850624
mps_chi2,lloyd,4,4,,9,0.9824885562622256,6.69281045751634
mps_chi2,topk,4,4,8.0,9,0.9847332706942585,6.491283676703645
mps_chi2,log,4,4,,9,0.9649407604700824,6.69281045751634
mps_chi2,percentile,4,4,,9,0.9866203384134316,6.408761979268531
mps_chi2,lloyd,2,2,,10,0.8034514879378221,12.337349397590362
mps_chi2,topk,2,2,8.0,10,0.825092411585772,11.636363636363637
mps_chi2,log,2,2,,10,0.6545138747317575,12.337349397590362
mps_chi2,percentile,2,2,,10,0.8281908134525827,11.361997226074896
mps_chi2,lloyd,3,3,,10,0.9390098046878241,8.752136752136753
mps_chi2,topk,3,3,8.0,10,0.949332915980792,8.402051282051282
mps_chi2,log,3,3,,10,0.8563752446514675,8.752136752136753
mps_chi2,percentile,3,3,,10,0.9490730708687131,8.261187444850624
mps_chi2,lloyd,4,4,,10,0.9768425293515627,6.69281045751634
mps_chi2,topk,4,4,8.0,10,0.9866858791568395,6.491283676703645
mps_chi2,log,4,4,,10,0.9409752309255542,6.69281045751634
mps_chi2,percentile,4,4,,10,0.9874936092903612,6.408761979268531
mps_chi2,lloyd,2,2,,11,0.8697292874370938,12.337349397590362
mps_chi2,topk,2,2,8.0,11,0.8770794407878948,11.636363636363637
mps_chi2,log,2,2,,11,0.8255686093931843,12.337349397590362
mps_chi2,percentile,2,2,,11,0.8792760910072471,11.361997226074896
mps_chi2,lloyd,3,3,,11,0.9527916975404637,8.752136752136753
mps_chi2,topk,3,3,8.0,11,0.956394059693648,8.402051282051282
mps_chi2,log,3,3,,11,0.9389166247839875,8.752136752136753
mps_chi2,percentile,3,3,,11,0.9571004046972272,8.261187444850624
mps_chi2,lloyd,4,4,,11,0.9847565464389255,6.69281045751634
mps_chi2,topk,4,4,8.0,11,0.9869577249064229,6.491283676703645
mps_chi2,log,4,4,,11,0.9811620387594199,6.69281045751634
